COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;2611;Le Charolais;CHAR;4
CODGEO;Code géographique;Code géographique;2612;Auxerre;CHAR;4
CODGEO;Code géographique;Code géographique;2613;Avallon;CHAR;4
CODGEO;Code géographique;Code géographique;2614;Sens;CHAR;4
CODGEO;Code géographique;Code géographique;3110;Roubaix - Tourcoing;CHAR;4
CODGEO;Code géographique;Code géographique;3111;Lille;CHAR;4
CODGEO;Code géographique;Code géographique;3112;Dunkerque;CHAR;4
CODGEO;Code géographique;Code géographique;3113;La Flandre - Lys;CHAR;4
CODGEO;Code géographique;Code géographique;3114;Douai;CHAR;4
CODGEO;Code géographique;Code géographique;3115;Valenciennes;CHAR;4
CODGEO;Code géographique;Code géographique;3116;Cambrai;CHAR;4
CODGEO;Code géographique;Code géographique;3117;Maubeuge;CHAR;4
CODGEO;Code géographique;Code géographique;3121;Arras;CHAR;4
CODGEO;Code géographique;Code géographique;3122;Lens - Hénin;CHAR;4
CODGEO;Code géographique;Code géographique;3123;Béthune - Bruay;CHAR;4
CODGEO;Code géographique;Code géographique;3124;Saint-Omer;CHAR;4
CODGEO;Code géographique;Code géographique;3125;Calais;CHAR;4
CODGEO;Code géographique;Code géographique;3126;Boulogne-sur-mer;CHAR;4
CODGEO;Code géographique;Code géographique;3127;Berck - Montreuil;CHAR;4
CODGEO;Code géographique;Code géographique;4101;Longwy;CHAR;4
CODGEO;Code géographique;Code géographique;4102;Lunéville;CHAR;4
CODGEO;Code géographique;Code géographique;4103;Nancy;CHAR;4
CODGEO;Code géographique;Code géographique;4104;Bar-le-Duc;CHAR;4
CODGEO;Code géographique;Code géographique;4105;Commercy;CHAR;4
CODGEO;Code géographique;Code géographique;4106;Verdun;CHAR;4
CODGEO;Code géographique;Code géographique;4107;Metz;CHAR;4
CODGEO;Code géographique;Code géographique;4108;Forbach;CHAR;4
