CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
01152;300;757;26080;;;;;;;;;;;;;;;;;;;;;;;;
01153;685;1943;44990;63;;;;;;;;;;;;;;;;;;;;;;;
01155;67;148;21520;;;;;;;;;;;;;;;;;;;;;;;;
01156;303;823;23970;;;;;;;;;;;;;;;;;;;;;;;;
01157;878;2276;25120;62;;;;;;;;;;75.3;68.9;2.4;4;25.7;14;2.8;1.9;0.5;0.4;-17.8;15630;42260;2.7
01158;345;931;31970;;;;;;;;;;;;;;;;;;;;;;;;
01159;1434;3447;22030;56;6;;;;;;;;;74.9;67.4;2.5;5;26.1;11;3.4;2;0.8;0.6;-15.4;14080;35910;2.5
01160;3158;6786;26280;43;22;;19;27;25;19;;16;26;81.6;76.8;3.3;1.5;23.7;9.6;2.4;0.8;0.9;0.7;-17.3;7090;68090;9.6
01162;;;;;;;;;;;;;;;;;;;;;;;;;;;
01163;827;2015;21820;52;;;;;;;;;;72.6;64.6;2.2;5.8;28.1;9.7;3.7;2.2;0.8;0.7;-14.1;13390;34380;2.6
01165;581;1632;23610;;;;;;;;;;;;;;;;;;;;;;;;
01166;916;2458;24730;65;;;;;;;;;;80.8;73.4;2.6;4.8;23.6;8.6;3;1.8;0.7;0.5;-16;16450;38700;2.4
01167;266;666;22400;;;;;;;;;;;;;;;;;;;;;;;;
01169;235;629;23350;;;;;;;;;;;;;;;;;;;;;;;;
01170;378;1098;21930;;;;;;;;;;;;;;;;;;;;;;;;
01171;324;916;23120;;;;;;;;;;;;;;;;;;;;;;;;
01173;4989;11526;31900;61;10;;9;11;13;;;6;15;99.6;94;3.4;2.2;11.4;6;1.8;0.8;0.5;0.5;-18.8;12490;66270;5.3
01174;69;160;23700;;;;;;;;;;;;;;;;;;;;;;;;
01175;340;844;20180;;;;;;;;;;;;;;;;;;;;;;;;
01177;82;176;22230;;;;;;;;;;;;;;;;;;;;;;;;
01179;816;1949;22770;;;;;;;;;;;;;;;;;;;;;;;;
01180;285;707;46930;;;;;;;;;;;;;;;;;;;;;;;;
01181;442;1228;22890;;;;;;;;;;;;;;;;;;;;;;;;
01183;546;1442;23580;;;;;;;;;;;;;;;;;;;;;;;;
01184;339;774;21380;;;;;;;;;;;;;;;;;;;;;;;;
01185;1982;4002;21640;53;10;;;;;;;;18;63.3;55.7;2.8;4.8;36.9;9.7;4.8;1.8;1.8;1.2;-14.7;12650;34990;2.8
01187;311;670;21110;;;;;;;;;;;;;;;;;;;;;;;;
01188;237;667;21960;;;;;;;;;;;;;;;;;;;;;;;;
01189;437;1068;25770;;;;;;;;;;;;;;;;;;;;;;;;
01190;;;;;;;;;;;;;;;;;;;;;;;;;;;
01191;71;163;22050;;;;;;;;;;;;;;;;;;;;;;;;
01192;902;2249;21770;60;;;;;;;;;;81.2;74.9;3;3.3;21.5;7.9;4.1;2.3;0.8;1;-14.7;13610;33070;2.4
01193;93;203;22050;;;;;;;;;;;;;;;;;;;;;;;;
01194;2572;6173;21950;53;10;;;;;;;;18;73.7;67;3.5;3.2;28.8;7.5;5;2.3;1.4;1.3;-15;12810;35390;2.8
01195;672;1679;23700;;;;;;;;;;;;;;;;;;;;;;;;
01196;430;1148;21620;;;;;;;;;;;;;;;;;;;;;;;;
01197;159;366;23640;;;;;;;;;;;;;;;;;;;;;;;;
01198;96;244;23140;;;;;;;;;;;;;;;;;;;;;;;;
01199;886;1986;21150;;;;;;;;;;;;;;;;;;;;;;;;
01200;77;196;21700;;;;;;;;;;;;;;;;;;;;;;;;
01202;3161;7246;21910;54;9;;;;;;;;18;73.9;66.8;3.2;3.9;28.4;8;4.8;2.3;1.4;1.1;-15.1;13020;35840;2.8
01203;486;1227;22720;;;;;;;;;;;;;;;;;;;;;;;;
01204;271;685;24160;;;;;;;;;;;;;;;;;;;;;;;;
01206;119;294;24350;;;;;;;;;;;;;;;;;;;;;;;;
01207;113;326;23770;;;;;;;;;;;;;;;;;;;;;;;;
01208;64;130;20960;;;;;;;;;;;;;;;;;;;;;;;;
01209;269;714;27620;;;;;;;;;;;;;;;;;;;;;;;;
01210;93;183;22800;;;;;;;;;;;;;;;;;;;;;;;;
01211;597;1402;22940;;;;;;;;;;;;;;;;;;;;;;;;
01212;283;703;19620;;;;;;;;;;;;;;;;;;;;;;;;
01213;501;1336;22520;;;;;;;;;;;;;;;;;;;;;;;;
01214;72;150;22760;;;;;;;;;;;;;;;;;;;;;;;;
01215;56;135;23000;;;;;;;;;;;;;;;;;;;;;;;;
01216;356;818;21160;;;;;;;;;;;;;;;;;;;;;;;;
01219;72;160;17660;;;;;;;;;;;;;;;;;;;;;;;;
01224;1223;3196;21430;52;8;;;;;;;;;81.2;74.9;3.4;2.9;22;6.5;4.7;3.1;0.8;0.8;-14.4;13180;32560;2.5
01225;154;397;25200;;;;;;;;;;;;;;;;;;;;;;;;
01227;258;627;22750;;;;;;;;;;;;;;;;;;;;;;;;
01228;261;659;24060;;;;;;;;;;;;;;;;;;;;;;;;
01229;515;1228;22000;;;;;;;;;;;;;;;;;;;;;;;;
01230;137;317;19230;;;;;;;;;;;;;;;;;;;;;;;;
01231;809;2016;22770;60;;;;;;;;;;73.8;65.6;1.2;7;27.6;12.3;2.7;1.9;0.4;0.4;-16.4;14340;34670;2.4
01232;930;2199;22110;53;;;;;;;;;;69.4;61.8;2.6;5;33.7;8.9;3.8;2.1;1;0.7;-15.8;13260;34790;2.6
01233;58;119;22480;;;;;;;;;;;;;;;;;;;;;;;;
01234;71;159;22000;;;;;;;;;;;;;;;;;;;;;;;;
01235;430;1073;22060;;;;;;;;;;;;;;;;;;;;;;;;
01236;409;1026;21050;;;;;;;;;;;;;;;;;;;;;;;;
01237;620;1696;21190;;;;;;;;;;;;;;;;;;;;;;;;
01238;1013;2729;26130;69;;;;;;;;;;80.3;72.9;2.8;4.6;24.5;9.9;2.7;1.8;0.5;0.4;-17.4;15660;41110;2.6
01239;262;635;23090;;;;;;;;;;;;;;;;;;;;;;;;
01240;273;648;23140;;;;;;;;;;;;;;;;;;;;;;;;
01241;540;1276;23460;;;;;;;;;;;;;;;;;;;;;;;;
01242;56;122;18600;;;;;;;;;;;;;;;;;;;;;;;;
01243;483;1291;24450;;;;;;;;;;;;;;;;;;;;;;;;
01244;3272;7793;22580;54;10;;;11;;;;;19;80.4;74.5;2.9;3;23.3;6.7;5.3;2.5;1.5;1.3;-15.7;12590;37790;3
01245;386;942;23760;;;;;;;;;;;;;;;;;;;;;;;;
01246;881;2134;21610;51;11;;;;;;;;;69.3;61.8;2.7;4.8;30.6;9.2;5.1;2.7;1.3;1.1;-14.2;12320;33960;2.8
01247;137;314;28010;;;;;;;;;;;;;;;;;;;;;;;;
01248;805;2214;26980;73;;;;;;;;;;86.7;79.6;2.7;4.4;20.2;8.7;2.1;1.3;0.4;0.4;-17.7;16480;43510;2.6
01249;3780;9121;24410;63;8;;;9;;;;;18;78.5;71.6;2.7;4.2;24.2;10.8;3.8;1.9;1;0.9;-17.3;13230;41080;3.1
01250;669;1882;25010;;;;;;;;;;;;;;;;;;;;;;;;
01252;308;803;23550;;;;;;;;;;;;;;;;;;;;;;;;
01254;791;2090;25830;71;;;;;;;;;;77.8;70.3;2.1;5.4;26.6;12.3;2.6;1.6;0.6;0.4;-19.3;16300;43900;2.7
01255;247;582;21440;;;;;;;;;;;;;;;;;;;;;;;;
01257;131;316;25640;;;;;;;;;;;;;;;;;;;;;;;;
01258;446;1221;24390;;;;;;;;;;;;;;;;;;;;;;;;
01259;250;695;23370;;;;;;;;;;;;;;;;;;;;;;;;
01260;105;287;26820;;;;;;;;;;;;;;;;;;;;;;;;
01261;235;655;25970;;;;;;;;;;;;;;;;;;;;;;;;
01262;2816;6862;21720;55;12;;;12;;;;;23;79;72.4;3.3;3.3;22.9;8.3;5.4;2.6;1.5;1.3;-15.6;12290;37380;3
01263;1553;3828;23600;61;7;;;;;;;;;74.9;69.1;2.4;3.4;28.3;10.3;3.5;2.1;0.8;0.6;-17;13880;38620;2.8
01264;399;1035;22540;;;;;;;;;;;;;;;;;;;;;;;;
01265;1470;3501;19130;48;16;;;;;;;;26;74.2;67.6;3.8;2.8;26;7.3;6.6;2.9;2;1.7;-14.1;10810;32310;3
01266;1109;2322;21080;49;10;;;;;;;;;62;56;2.8;3.2;37.4;9.5;4.6;2;1.4;1.2;-13.5;12880;31830;2.5
01267;398;1014;22110;;;;;;;;;;;;;;;;;;;;;;;;
01268;101;248;22710;;;;;;;;;;;;;;;;;;;;;;;;
