CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
422;68650;150992;19980;43.7;13.6;20.9;16.6;17.5;14.2;8.3;7;7;28.9;63.9;56.3;2.9;4.7;34.6;10.2;5.6;2.3;1.9;1.4;-14.3;11590;32730;2.8
423;178325;401696;19710;44.9;17.6;28.5;21.4;21.7;17.3;10.4;9.2;6.5;33;67.3;59.5;3.3;4.5;31.5;8.9;7.4;2.8;2.6;2;-15.1;10570;33810;3.2
431;21266;44433;19050;39.3;15.7;22.1;17.8;18.7;16.6;10.7;14.1;11.1;30.1;59.3;49;3.1;7.2;37.4;10.2;6;2.1;2.5;1.4;-12.9;10990;30780;2.8
432;43061;93305;20010;44.2;12.9;21.8;13.6;15.5;13.2;8.5;10.7;7.8;26.1;64.2;54.2;2.7;7.3;34;10.4;5.9;2.2;2.3;1.4;-14.5;11730;33050;2.8
433;35860;85286;20790;44.9;9.4;12.3;9.5;10.8;8.9;7;9.2;6.3;20;70.3;61.4;2.9;6;29.4;9.1;5;2.5;1.5;1;-13.8;12890;33100;2.6
442;354170;805565;22460;55.5;10.6;19.2;11.7;11.5;9.8;6.2;6;5;23.9;79.1;70.9;3.2;5;24.5;8.7;5.1;2.1;1.7;1.3;-17.4;12450;38570;3.1
443;151299;338772;21580;52.4;9.5;15.5;10.6;11;10.3;6.2;6.1;5;21.7;65.7;57.9;3.1;4.7;35.4;10.1;4.8;2.1;1.6;1.1;-16;12870;35720;2.8
445;88813;225132;20780;45.6;9.7;14.8;9.5;9.8;10;6.7;11.3;6.3;22.8;75.9;68;2.9;5;24.6;8.1;5.5;3;1.5;1;-14.1;12780;32600;2.6
451;74652;168804;20080;49;15.6;23.4;20.9;19.6;15.4;9.7;6.9;7.8;32.5;64.8;57.2;3.3;4.3;35.3;8.5;6.1;2.5;2.1;1.5;-14.7;10840;33100;3.1
452;186309;437260;21900;56.9;12.8;21.5;15.9;15;11.4;7.9;5.5;5;27.6;74.5;67.8;2.9;3.8;28.5;8.5;5.3;2.4;1.6;1.3;-16.8;11700;37350;3.2
453;25781;62986;20770;51;11.4;18.3;12.8;13.4;11.2;7.9;6.8;6.4;26.1;71.6;63.7;3.3;4.6;28.8;8.7;5.3;2.7;1.5;1.1;-14.4;12180;33100;2.7
461;33039;69611;20370;46.2;15.3;25.6;17.8;19.1;16;10.6;11.4;9.8;29.2;58.8;48.9;3;6.9;40.1;10.6;5.4;1.8;2.3;1.3;-14.9;11010;34890;3.2
462;24748;52056;20460;46.8;13.8;17.8;15.5;15.8;14.9;10.1;12.6;9.5;26.4;61;51.5;2.5;7;38.7;10.2;4.6;1.7;1.8;1.1;-14.5;11510;34110;3
463;21232;43522;19680;43.4;15.3;21.8;18.4;18.9;17.3;10.5;12.8;11.5;26.6;55;44.2;3.1;7.7;43.5;11;4.6;1.6;1.9;1.1;-14.1;11030;33750;3.1
471;52969;117156;20250;47.1;15.6;23.8;18.7;17.4;14.4;11.6;11.9;7.6;29.4;68.7;59.8;3.2;5.7;31;9.3;6.4;2.3;2.4;1.7;-15.4;11010;34540;3.1
472;37032;81204;18820;39.7;17.6;24;19.6;21.1;18.5;13;14.9;11.5;31.2;61;50.7;3.3;7;36.2;10.3;6.3;2.2;2.5;1.6;-13.8;10610;31700;3
473;40383;88266;18610;38.6;18.4;29;22.6;21.7;20.1;13;13.7;12;33.7;57.4;46.8;3.7;6.9;39.2;10.7;6.6;2.3;2.7;1.6;-13.9;10450;31540;3
474;17373;37884;19280;40.3;16.5;20.8;19.5;19.5;16.9;12;15.3;10.7;30.8;60.4;49.7;3.5;7.2;37.2;10.6;5.5;2;2.2;1.3;-13.7;10910;32220;3
481;5796;11870;18130;37.7;23;;29.4;29.6;23.5;15.6;18.1;16.9;36.2;56.4;43.1;3.7;9.6;39.7;9.5;6.5;2;2.9;1.6;-12.1;9390;30940;3.3
482;27439;59242;20060;45.2;13.3;18.8;13.8;14.8;12.7;9.8;14.5;9.1;22.9;65.8;55.1;2.4;8.3;33;10;5.3;2.1;2;1.2;-14.1;11670;32620;2.8
491;158402;361425;21190;49.7;12.2;23.2;14.9;13.6;11.5;6.6;5.8;5;26;72.2;63.8;3.1;5.3;29.1;8.6;5.9;2.4;1.9;1.6;-15.8;11910;36150;3
492;91773;223740;20270;43.3;9.2;12.6;9.7;11;9.8;5.5;6.7;5;23.1;73.1;64.9;2.9;5.3;27;8.3;5.3;2.9;1.3;1.1;-13.7;12930;31470;2.4
493;56682;131335;19460;41;13.4;20.9;15.4;14.9;14;9.3;9.2;7.7;26.6;65.5;56.2;3.3;6;33.4;8.5;6.1;2.7;2;1.4;-13.5;11660;31490;2.7
494;27829;69570;19690;39.1;10.8;13.2;10.7;12.7;11.2;7.2;8.8;6.6;22.1;72.5;64;3.1;5.4;26.6;7.4;6.1;3.4;1.5;1.2;-12.6;12400;30150;2.4
501;61468;132355;20160;44.9;12.1;17.1;13.6;14.2;13.6;8;10.1;7.8;21.9;60.8;51;2.4;7.4;37.8;10.9;4.9;2;1.7;1.2;-14.4;12030;33370;2.8
502;83556;185729;20780;49.2;11.7;17.9;13.7;14.4;10.6;7.5;8.5;5.4;23.2;69.5;61.3;2.9;5.3;32;7.3;5.7;2.2;2.1;1.4;-14.5;12160;34370;2.8
503;31829;69745;19650;43;13.3;17.1;16;16.4;14.9;8.1;10.6;8.6;25.3;61.2;49.5;2.7;9;37.6;9.4;5.4;2.2;2;1.2;-13.6;11720;32720;2.8
504;45154;100802;20100;44.8;12.2;19.1;14.1;13.8;12.9;7.5;8.9;6.6;24;67.4;58.8;2.7;5.9;32.6;7.7;5.9;2.5;2.1;1.3;-13.6;12000;31740;2.6
511;45832;103954;20650;50.9;14.2;24.9;18.4;16;12.7;7.7;7.5;5;27;70.6;62;2.7;5.9;29.6;9.4;6;2.5;2;1.5;-15.6;11410;34470;3
512;52605;118307;21810;57.2;11.3;19.3;13.8;13.2;11;7.3;6.3;5.5;24.4;72.4;54.8;2.7;14.9;27.7;14.4;4;1.8;1.3;0.9;-18.5;12230;39700;3.2
513;123720;275040;21120;53.3;15.8;28.6;19.7;17.6;14.2;8.6;6.7;5;27.4;75.2;64.4;2.9;7.9;26.9;9.5;6.3;2.2;2.3;1.8;-17.9;10860;39080;3.6
514;19587;44494;19570;45.5;15;25.3;17.9;17.3;14.5;10.6;9.6;7.8;29.6;65.8;56.8;3.1;5.9;32.4;9.3;6.3;2.5;2.3;1.5;-13.8;11290;32010;2.8
521;28362;60724;20330;47.2;13;21.5;16.1;14.8;13.2;8.6;9;6.8;25.9;66.1;58.4;2.4;5.3;34.5;8.1;5.6;2.1;2.2;1.3;-14.3;11700;32880;2.8
522;20141;43193;20190;45.6;13.1;19;14.2;16;12.7;9;12.3;8.5;26;64;53.9;3;7.1;35.9;8.9;4.9;2;1.8;1.1;-13.7;11810;32040;2.7
523;30103;66143;18700;41.1;18.2;25.4;23.7;24.3;18;11.2;9.5;9.6;34;61.6;54.2;3.4;4;36;7.7;7.7;2.6;3.2;1.9;-13;10710;30630;2.9
