CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
200072130;40115;102513;21420;57.2;14.7;19.9;16.6;16.1;13.6;11.3;8.2;5;27.8;82.1;75.4;3.3;3.4;21;6.4;6.6;3;2;1.6;-16.1;11140;35580;3.2
200072304;3727;7585;19600;48.3;15.8;;20.1;17.2;18;11.9;;11.1;23.7;63.1;49;4.7;9.4;35.1;13.2;4.1;1.7;1.3;1.1;-15.5;11150;34060;3.1
200072312;33831;82371;21850;56.8;12;20.5;15;14.3;10.8;8.2;5.8;5.3;25.5;74;66.3;3.4;4.3;29.1;8;5.2;2.4;1.7;1.1;-16.3;11940;37460;3.1
200072320;4146;9437;19950;42.9;14.9;;18.7;14.6;13.6;11.8;17.3;11.3;28.4;61.2;51;2.5;7.7;36;11.3;4.8;1.8;2;1;-13.3;11290;32080;2.8
200072346;29062;67762;26580;69.2;7.9;16.3;10;9.3;7.4;5.5;5;5;18.4;77.5;68.8;2.4;6.3;28.4;13.7;2.6;1.2;0.8;0.6;-22.2;13640;50180;3.7
200072452;23837;54249;19880;42.5;11.7;19.2;13.2;13.6;11.6;6.7;8.8;5.6;25.5;68.8;60.4;2.8;5.6;30.6;8.5;5.8;2.6;1.9;1.3;-13.7;12190;31250;2.6
200072460;113649;273285;18490;39.4;19.3;32.3;23.2;21.5;18.6;11.7;11.6;7.8;36.6;70.2;62.8;3.1;4.3;29;6.1;8.7;3.1;3.3;2.3;-14;10510;30790;2.9
200072478;9506;24875;19000;41.9;16.6;21.2;19.4;18.7;16.5;9.8;14.3;10.1;34.2;73.2;63.9;3.5;5.8;26;7.4;7.1;3.3;2.3;1.5;-13.7;11210;31320;2.8
200072544;10476;26562;21490;53.8;10.8;15.7;12.2;13.3;10;7.4;;6.5;24.9;74.3;66.1;3.4;4.8;26.9;8.5;5.1;2.7;1.5;0.9;-14.8;12340;34210;2.8
200072635;7510;14897;19940;44.6;15;;20.4;18.7;15.7;10.2;13;10.5;26.4;55.7;46.1;3.2;6.4;43.4;10.2;4.8;1.5;2.2;1.1;-14.1;11040;32420;2.9
200072643;19874;41960;19310;42.5;18.6;30.5;25.3;22.4;18.7;12.3;14.2;11;35.9;57.6;48.6;3;6;39.8;9.8;6.7;2;3;1.7;-13.9;10330;33180;3.2
200072650;21222;53059;22360;54.8;6.7;9.8;5.8;7.2;7.4;5.5;7;5;17.3;76.9;69.9;2.8;4.2;27.3;7.4;3.9;2.2;1;0.7;-15.5;14070;35100;2.5
200072668;11277;24917;19290;41.2;14.2;21.5;17.9;16.1;15.2;9.2;10.9;9.2;29.1;62.5;53.4;3.2;5.9;36.8;8.4;5.3;2.2;1.9;1.2;-13;11450;30620;2.7
200072676;12230;27050;19540;42.1;13.1;16.1;15.2;16.9;14.4;8.5;8;7.7;28.2;62.9;55.5;2.9;4.5;35.5;8.7;5.7;2.5;1.9;1.3;-12.8;11830;30320;2.6
200072684;12682;30748;20790;47.2;9.1;11.8;9.5;11;8.7;6.4;7.3;6;21.9;71.7;65.1;2.7;3.9;30.2;6.6;4.9;2.8;1.2;0.9;-13.4;12990;31470;2.4
200072692;6903;14715;20160;46.7;11.8;;13.6;15.1;14.2;7.6;;6.8;26.9;60.2;52.6;2.5;5.1;39.4;8.8;4.8;2.1;1.6;1.1;-13.2;11930;30330;2.5
