COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;01167;Garnerans;CHAR;5
CODGEO;Code géographique;Code géographique;01169;Genouilleux;CHAR;5
CODGEO;Code géographique;Code géographique;01170;Béard-Géovreissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01171;Géovreisset;CHAR;5
CODGEO;Code géographique;Code géographique;01173;Gex;CHAR;5
CODGEO;Code géographique;Code géographique;01174;Giron;CHAR;5
CODGEO;Code géographique;Code géographique;01175;Gorrevod;CHAR;5
CODGEO;Code géographique;Code géographique;01177;Grand-Corent;CHAR;5
CODGEO;Code géographique;Code géographique;01179;Grièges;CHAR;5
CODGEO;Code géographique;Code géographique;01180;Grilly;CHAR;5
CODGEO;Code géographique;Code géographique;01181;Groissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01183;Guéreins;CHAR;5
CODGEO;Code géographique;Code géographique;01184;Hautecourt-Romanèche;CHAR;5
CODGEO;Code géographique;Code géographique;01185;Plateau d'Hauteville;CHAR;5
CODGEO;Code géographique;Code géographique;01187;Haut Valromey;CHAR;5
CODGEO;Code géographique;Code géographique;01188;Illiat;CHAR;5
CODGEO;Code géographique;Code géographique;01189;Injoux-Génissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01190;Innimond;CHAR;5
CODGEO;Code géographique;Code géographique;01191;Izenave;CHAR;5
CODGEO;Code géographique;Code géographique;01192;Izernore;CHAR;5
CODGEO;Code géographique;Code géographique;01193;Izieu;CHAR;5
CODGEO;Code géographique;Code géographique;01194;Jassans-Riottier;CHAR;5
CODGEO;Code géographique;Code géographique;01195;Jasseron;CHAR;5
CODGEO;Code géographique;Code géographique;01196;Jayat;CHAR;5
CODGEO;Code géographique;Code géographique;01197;Journans;CHAR;5
CODGEO;Code géographique;Code géographique;01198;Joyeux;CHAR;5
CODGEO;Code géographique;Code géographique;01199;Jujurieux;CHAR;5
CODGEO;Code géographique;Code géographique;01200;Labalme;CHAR;5
CODGEO;Code géographique;Code géographique;01202;Lagnieu;CHAR;5
CODGEO;Code géographique;Code géographique;01203;Laiz;CHAR;5
CODGEO;Code géographique;Code géographique;01204;Le Poizat-Lalleyriat;CHAR;5
CODGEO;Code géographique;Code géographique;01206;Lantenay;CHAR;5
CODGEO;Code géographique;Code géographique;01207;Lapeyrouse;CHAR;5
CODGEO;Code géographique;Code géographique;01208;Lavours;CHAR;5
CODGEO;Code géographique;Code géographique;01209;Léaz;CHAR;5
CODGEO;Code géographique;Code géographique;01210;Lélex;CHAR;5
CODGEO;Code géographique;Code géographique;01211;Lent;CHAR;5
CODGEO;Code géographique;Code géographique;01212;Lescheroux;CHAR;5
CODGEO;Code géographique;Code géographique;01213;Leyment;CHAR;5
CODGEO;Code géographique;Code géographique;01214;Leyssard;CHAR;5
CODGEO;Code géographique;Code géographique;01215;Surjoux-Lhopital;CHAR;5
CODGEO;Code géographique;Code géographique;01216;Lhuis;CHAR;5
CODGEO;Code géographique;Code géographique;01219;Lompnas;CHAR;5
CODGEO;Code géographique;Code géographique;01224;Loyettes;CHAR;5
CODGEO;Code géographique;Code géographique;01225;Lurcy;CHAR;5
CODGEO;Code géographique;Code géographique;01227;Magnieu;CHAR;5
CODGEO;Code géographique;Code géographique;01228;Maillat;CHAR;5
CODGEO;Code géographique;Code géographique;01229;Malafretaz;CHAR;5
CODGEO;Code géographique;Code géographique;01230;Mantenay-Montlin;CHAR;5
CODGEO;Code géographique;Code géographique;01231;Manziat;CHAR;5
CODGEO;Code géographique;Code géographique;01232;Marboz;CHAR;5
CODGEO;Code géographique;Code géographique;01233;Marchamp;CHAR;5
CODGEO;Code géographique;Code géographique;01234;Marignieu;CHAR;5
CODGEO;Code géographique;Code géographique;01235;Marlieux;CHAR;5
CODGEO;Code géographique;Code géographique;01236;Marsonnas;CHAR;5
CODGEO;Code géographique;Code géographique;01237;Martignat;CHAR;5
CODGEO;Code géographique;Code géographique;01238;Massieux;CHAR;5
CODGEO;Code géographique;Code géographique;01239;Massignieu-de-Rives;CHAR;5
CODGEO;Code géographique;Code géographique;01240;Matafelon-Granges;CHAR;5
CODGEO;Code géographique;Code géographique;01241;Meillonnas;CHAR;5
CODGEO;Code géographique;Code géographique;01242;Mérignat;CHAR;5
CODGEO;Code géographique;Code géographique;01243;Messimy-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01244;Meximieux;CHAR;5
CODGEO;Code géographique;Code géographique;01245;Bohas-Meyriat-Rignat;CHAR;5
CODGEO;Code géographique;Code géographique;01246;Mézériat;CHAR;5
CODGEO;Code géographique;Code géographique;01247;Mijoux;CHAR;5
CODGEO;Code géographique;Code géographique;01248;Mionnay;CHAR;5
CODGEO;Code géographique;Code géographique;01249;Miribel;CHAR;5
CODGEO;Code géographique;Code géographique;01250;Misérieux;CHAR;5
CODGEO;Code géographique;Code géographique;01252;Mogneneins;CHAR;5
CODGEO;Code géographique;Code géographique;01254;Montagnat;CHAR;5
CODGEO;Code géographique;Code géographique;01255;Montagnieu;CHAR;5
CODGEO;Code géographique;Code géographique;01257;Montanges;CHAR;5
CODGEO;Code géographique;Code géographique;01258;Montceaux;CHAR;5
CODGEO;Code géographique;Code géographique;01259;Montcet;CHAR;5
CODGEO;Code géographique;Code géographique;01260;Le Montellier;CHAR;5
CODGEO;Code géographique;Code géographique;01261;Monthieux;CHAR;5
CODGEO;Code géographique;Code géographique;01262;Montluel;CHAR;5
CODGEO;Code géographique;Code géographique;01263;Montmerle-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01264;Montracol;CHAR;5
CODGEO;Code géographique;Code géographique;01265;Montréal-la-Cluse;CHAR;5
CODGEO;Code géographique;Code géographique;01266;Montrevel-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;01267;Nurieux-Volognat;CHAR;5
CODGEO;Code géographique;Code géographique;01268;Murs-et-Gélignieux;CHAR;5
CODGEO;Code géographique;Code géographique;01269;Nantua;CHAR;5
CODGEO;Code géographique;Code géographique;01272;Neuville-les-Dames;CHAR;5
CODGEO;Code géographique;Code géographique;01273;Neuville-sur-Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01274;Les Neyrolles;CHAR;5
CODGEO;Code géographique;Code géographique;01275;Neyron;CHAR;5
CODGEO;Code géographique;Code géographique;01276;Niévroz;CHAR;5
CODGEO;Code géographique;Code géographique;01277;Nivollet-Montgriffon;CHAR;5
CODGEO;Code géographique;Code géographique;01279;Oncieu;CHAR;5
CODGEO;Code géographique;Code géographique;01280;Ordonnaz;CHAR;5
CODGEO;Code géographique;Code géographique;01281;Ornex;CHAR;5
CODGEO;Code géographique;Code géographique;01282;Outriaz;CHAR;5
CODGEO;Code géographique;Code géographique;01283;Oyonnax;CHAR;5
CODGEO;Code géographique;Code géographique;01284;Ozan;CHAR;5
CODGEO;Code géographique;Code géographique;01285;Parcieux;CHAR;5
CODGEO;Code géographique;Code géographique;01286;Parves et Nattages;CHAR;5
CODGEO;Code géographique;Code géographique;01288;Péron;CHAR;5
CODGEO;Code géographique;Code géographique;01289;Péronnas;CHAR;5
CODGEO;Code géographique;Code géographique;01290;Pérouges;CHAR;5
CODGEO;Code géographique;Code géographique;01291;Perrex;CHAR;5
CODGEO;Code géographique;Code géographique;01293;Peyriat;CHAR;5
CODGEO;Code géographique;Code géographique;01294;Peyrieu;CHAR;5
CODGEO;Code géographique;Code géographique;01295;Peyzieux-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01296;Pirajoux;CHAR;5
CODGEO;Code géographique;Code géographique;01297;Pizay;CHAR;5
CODGEO;Code géographique;Code géographique;01298;Plagne;CHAR;5
CODGEO;Code géographique;Code géographique;01299;Le Plantay;CHAR;5
CODGEO;Code géographique;Code géographique;01301;Polliat;CHAR;5
CODGEO;Code géographique;Code géographique;01302;Pollieu;CHAR;5
CODGEO;Code géographique;Code géographique;01303;Poncin;CHAR;5
CODGEO;Code géographique;Code géographique;01304;Pont-d'Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01305;Pont-de-Vaux;CHAR;5
CODGEO;Code géographique;Code géographique;01306;Pont-de-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01307;Port;CHAR;5
CODGEO;Code géographique;Code géographique;01308;Pougny;CHAR;5
CODGEO;Code géographique;Code géographique;01309;Pouillat;CHAR;5
CODGEO;Code géographique;Code géographique;01310;Prémeyzel;CHAR;5
CODGEO;Code géographique;Code géographique;01311;Prémillieu;CHAR;5
CODGEO;Code géographique;Code géographique;01313;Prévessin-Moëns;CHAR;5
CODGEO;Code géographique;Code géographique;01314;Priay;CHAR;5
CODGEO;Code géographique;Code géographique;01317;Ramasse;CHAR;5
CODGEO;Code géographique;Code géographique;01318;Rancé;CHAR;5
CODGEO;Code géographique;Code géographique;01319;Relevant;CHAR;5
CODGEO;Code géographique;Code géographique;01320;Replonges;CHAR;5
CODGEO;Code géographique;Code géographique;01321;Revonnas;CHAR;5
CODGEO;Code géographique;Code géographique;01322;Reyrieux;CHAR;5
CODGEO;Code géographique;Code géographique;01323;Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01325;Rignieux-le-Franc;CHAR;5
CODGEO;Code géographique;Code géographique;01328;Romans;CHAR;5
CODGEO;Code géographique;Code géographique;01329;Rossillon;CHAR;5
CODGEO;Code géographique;Code géographique;01330;Ruffieu;CHAR;5
CODGEO;Code géographique;Code géographique;01331;Saint-Alban;CHAR;5
CODGEO;Code géographique;Code géographique;01332;Saint-André-de-Bâgé;CHAR;5
CODGEO;Code géographique;Code géographique;01333;Saint-André-de-Corcy;CHAR;5
CODGEO;Code géographique;Code géographique;01334;Saint-André-d'Huiriat;CHAR;5
CODGEO;Code géographique;Code géographique;01335;Saint-André-le-Bouchoux;CHAR;5
CODGEO;Code géographique;Code géographique;01336;Saint-André-sur-Vieux-Jonc;CHAR;5
CODGEO;Code géographique;Code géographique;01337;Saint-Bénigne;CHAR;5
CODGEO;Code géographique;Code géographique;01338;Groslée-Saint-Benoit;CHAR;5
CODGEO;Code géographique;Code géographique;01339;Saint-Bernard;CHAR;5
CODGEO;Code géographique;Code géographique;01342;Sainte-Croix;CHAR;5
CODGEO;Code géographique;Code géographique;01343;Saint-Cyr-sur-Menthon;CHAR;5
