COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;098;Bâle (SUI) - Saint-Louis (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;099;Saint-Omer;CHAR;3
CODGEO;Code géographique;Code géographique;100;Cluses;CHAR;3
CODGEO;Code géographique;Code géographique;101;Narbonne;CHAR;3
CODGEO;Code géographique;Code géographique;102;Sète;CHAR;3
CODGEO;Code géographique;Code géographique;103;Thonon-les-Bains;CHAR;3
CODGEO;Code géographique;Code géographique;104;Rodez;CHAR;3
CODGEO;Code géographique;Code géographique;105;Vichy;CHAR;3
CODGEO;Code géographique;Code géographique;106;Dieppe;CHAR;3
CODGEO;Code géographique;Code géographique;107;Châlons-en-Champagne;CHAR;3
CODGEO;Code géographique;Code géographique;108;Montluçon;CHAR;3
CODGEO;Code géographique;Code géographique;109;Bergerac;CHAR;3
CODGEO;Code géographique;Code géographique;110;Draguignan;CHAR;3
CODGEO;Code géographique;Code géographique;111;Armentières (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;112;Menton - Monaco (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;113;Saint-Malo;CHAR;3
CODGEO;Code géographique;Code géographique;114;Le Puy-en-Velay;CHAR;3
CODGEO;Code géographique;Code géographique;115;Longwy (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;116;Montélimar;CHAR;3
CODGEO;Code géographique;Code géographique;117;Châtellerault;CHAR;3
CODGEO;Code géographique;Code géographique;118;Romans-sur-Isère;CHAR;3
CODGEO;Code géographique;Code géographique;119;Montargis;CHAR;3
CODGEO;Code géographique;Code géographique;120;Alençon;CHAR;3
CODGEO;Code géographique;Code géographique;121;Castres;CHAR;3
CODGEO;Code géographique;Code géographique;122;Mont-de-Marsan;CHAR;3
CODGEO;Code géographique;Code géographique;123;Cambrai;CHAR;3
CODGEO;Code géographique;Code géographique;124;Dole;CHAR;3
CODGEO;Code géographique;Code géographique;125;Aurillac;CHAR;3
CODGEO;Code géographique;Code géographique;126;Lannion;CHAR;3
CODGEO;Code géographique;Code géographique;127;Soissons;CHAR;3
CODGEO;Code géographique;Code géographique;128;Dax;CHAR;3
CODGEO;Code géographique;Code géographique;129;Sens;CHAR;3
CODGEO;Code géographique;Code géographique;130;Moulins;CHAR;3
CODGEO;Code géographique;Code géographique;131;La Teste-de-Buch - Arcachon;CHAR;3
CODGEO;Code géographique;Code géographique;132;Saintes;CHAR;3
CODGEO;Code géographique;Code géographique;133;Haguenau;CHAR;3
CODGEO;Code géographique;Code géographique;134;Dreux;CHAR;3
CODGEO;Code géographique;Code géographique;135;Vesoul;CHAR;3
CODGEO;Code géographique;Code géographique;136;Gap;CHAR;3
CODGEO;Code géographique;Code géographique;137;Berck;CHAR;3
CODGEO;Code géographique;Code géographique;138;Lons-le-Saunier;CHAR;3
CODGEO;Code géographique;Code géographique;139;Aubenas;CHAR;3
CODGEO;Code géographique;Code géographique;140;Villeneuve-sur-Lot;CHAR;3
CODGEO;Code géographique;Code géographique;141;Arles;CHAR;3
CODGEO;Code géographique;Code géographique;142;Rochefort;CHAR;3
CODGEO;Code géographique;Code géographique;143;Salon-de-Provence;CHAR;3
CODGEO;Code géographique;Code géographique;144;Saint-Dizier;CHAR;3
CODGEO;Code géographique;Code géographique;145;Saint-Dié-des-Vosges;CHAR;3
CODGEO;Code géographique;Code géographique;146;Laon;CHAR;3
CODGEO;Code géographique;Code géographique;147;Saint-Lô;CHAR;3
CODGEO;Code géographique;Code géographique;148;Saint-Cyprien;CHAR;3
CODGEO;Code géographique;Code géographique;149;Louviers;CHAR;3
CODGEO;Code géographique;Code géographique;150;Cognac;CHAR;3
CODGEO;Code géographique;Code géographique;151;Royan;CHAR;3
CODGEO;Code géographique;Code géographique;152;Les Sables-d'Olonne;CHAR;3
CODGEO;Code géographique;Code géographique;153;Lunel;CHAR;3
CODGEO;Code géographique;Code géographique;154;Montceau-les-Mines;CHAR;3
CODGEO;Code géographique;Code géographique;155;Flers;CHAR;3
CODGEO;Code géographique;Code géographique;156;Sarreguemines (partie française);CHAR;3
CODGEO;Code géographique;Code géographique;157;Annonay;CHAR;3
CODGEO;Code géographique;Code géographique;158;Saumur;CHAR;3
CODGEO;Code géographique;Code géographique;159;Sallanches;CHAR;3
