CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
516;4200;8716;19560;40.6;13;;;14.2;13.2;;12.7;7.7;24.2;59.5;50;2.1;7.4;38.2;10.5;5.1;1.8;1.9;1.4;-13.3;11900;30940;2.6
517;2861;5900;19070;43.4;19;;26;24.8;20.1;;;9.5;31.2;56.4;44.3;3.9;8.2;40.5;12.4;6.3;1.8;2.8;1.7;-15.6;10200;35770;3.5
518;2348;5497;14480;28.8;39.2;;49.7;47.6;43.3;19;;18.5;58.8;52.8;45.1;4.5;3.2;34.9;7.2;15.9;4.7;6.9;4.3;-10.8;8370;25210;3
519;3084;6765;20670;47.6;13.8;;;18.3;;;;6.4;24.9;62.9;53.9;3.5;5.5;36.1;10.1;5.4;2.1;1.9;1.4;-14.5;11670;34500;3
520;2917;6198;19770;40.7;13.1;;;19.2;;;;6.7;24.5;61.5;52.1;2.8;6.6;36.9;8.3;5.9;2.1;2.3;1.5;-12.6;11640;30030;2.6
521;2430;5991;21150;50.7;6.7;;;;;;;;22.7;75.1;67.5;2.5;5.1;26.6;9;4.4;2.4;1.1;0.9;-15.1;13960;33330;2.4
522;3722;8308;22370;60.5;8;;;9.9;;;;5.4;14.2;77.7;62.9;4.4;10.4;23.1;13.2;3;1.8;0.6;0.6;-17;13510;36870;2.7
523;2362;5187;16940;33.8;27.1;;43.8;33.7;26;;;13.3;47.1;57.5;49.2;3.9;4.4;36.5;7.7;11.1;3.6;4.5;3;-12.8;9280;28760;3.1
524;2547;5694;18820;45.6;18.3;;23.2;21.2;;;;;26.8;72;65.4;3.3;3.3;27.8;7.5;7.9;2.9;2.7;2.3;-15.2;10630;35250;3.3
525;2881;5871;19410;42.2;14.5;;;19.5;;;;8.3;25.9;59.3;51.4;2.8;5.1;37.2;10.4;6.8;2;3.1;1.7;-13.7;11380;32170;2.8
526;2562;5584;20140;48.1;14.1;;;18.2;;;;;27.8;60.5;53.7;3.1;3.7;39.1;7.4;6.7;2.4;2.6;1.7;-13.7;11580;31990;2.8
527;2953;6145;18650;44.8;22.5;;25.7;29.3;23.5;17.2;;12.7;33.1;63.6;48.8;3.9;10.9;35.1;12.9;5.4;1.5;2.3;1.6;-17;9460;35330;3.7
528;2684;5890;21510;50.3;11;;;;;;;5.4;25.4;62.9;53.5;2.4;7;39.7;8.1;4.4;1.8;1.6;1;-15.1;12400;36940;3
529;2679;5522;18710;41.5;19.1;;23.4;27.8;18.7;;;9.9;34.8;59.8;51;2.3;6.5;36.7;9.4;7.6;2.2;3.4;2;-13.5;10170;31870;3.1
530;2711;5229;19480;44.2;15.2;;;;;;;;26.8;59.3;51.3;3;5;40.5;7.9;6.9;1.9;3.1;1.9;-14.6;11200;33580;3
531;2266;5071;18090;38.3;18.7;;;20.8;22.2;;;11.3;34.4;59.9;51.7;4.3;3.9;36.4;8.6;7.7;2.3;3.4;2;-12.6;10340;29500;2.9
532;4792;11294;19030;37.8;13.9;;14.5;14.6;16;10.6;;8.9;27;66.6;57.5;3.2;5.9;32.5;7.4;6.2;2.9;1.9;1.4;-12.7;11530;30090;2.6
534;2632;5427;18870;38.2;16.1;;;21.2;;;;8.8;27.9;60.8;52.8;3.4;4.6;36.3;8.8;7.5;2.3;3.3;1.9;-13.4;10740;30680;2.9
535;2622;5484;20060;44.3;11.9;;;;;;;7.7;25;61;51.3;3.1;6.6;38.7;9.9;4.3;1.6;1.6;1.1;-13.9;12040;31980;2.7
536;2744;5546;20400;45.4;10.2;;;;;;;5.4;22.3;56;45.6;2.1;8.3;38.3;16.8;4.4;1.6;1.7;1.1;-15.5;12600;34580;2.7
